simulation_id,timestamp,target_url,company_context_length,num_turns,total_seller_words,total_buyer_words,avg_seller_turn_length,avg_buyer_turn_length,score,outcome,key_objection,feedback,conversation_file
43290c94-50b8-418e-b69a-fe7a0f601def,2026-02-08T13:04:57.026424,https://deepmostai.com,1510,3,254,174,63.5,58.0,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Positive,43290c94-50b8-418e-b69a-fe7a0f601def.json
752c57c7-3f4b-4f17-860e-174c717bb689,2026-02-08T13:05:17.121356,https://stripe.com,3000,3,282,159,94.0,53.0,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Positive,752c57c7-3f4b-4f17-860e-174c717bb689.json
c7efa28d-4f2a-4a00-ac29-3d570b602488,2026-02-08T23:18:43.442043,https://www.salesforce.com/in/,3000,4,181,140,45.25,35.0,0,Error,Unknown,,c7efa28d-4f2a-4a00-ac29-3d570b602488.json
7b97d187-c4d2-45f7-befa-b00dfed4e88a,2026-02-08T23:24:18.907347,https://www.zoho.com/,3000,4,163,149,40.75,37.25,9,Success,Price,"The seller demonstrated excellent objection handling by reframing value and addressing objections, now strategically address the explicit price objection to secure the next step.",7b97d187-c4d2-45f7-befa-b00dfed4e88a.json
f8c7a6c3-65d5-42af-aebc-86c02028eb53,2026-02-11T13:48:02.016120,https://www.apollo.io/,3000,4,181,119,45.25,29.75,6,Ongoing,Integration/Vendor Lock-in,Focus on demonstrating tangible value and addressing integration concerns early and directly.,f8c7a6c3-65d5-42af-aebc-86c02028eb53.json
ff7f940f-c730-48fa-a195-10c060b068a0,2026-02-11T13:51:23.910688,https://www.google.com/,363,4,200,148,50.0,37.0,6,Partial Success,Price,"The seller successfully shifted from a feature-based pitch to focusing on tangible ROI, but needs to be more direct in addressing the ""orders of magnitude"" claim upfront to build credibility.",ff7f940f-c730-48fa-a195-10c060b068a0.json
e04242f3-b038-4f9f-b949-11e4f8334281,2026-02-11T14:16:10.465177,https://www.dropbox.com/,3000,4,257,256,64.25,64.0,6,Failure,Price,"The seller should have provided a detailed, written comparison of their pricing model to the competitors, including case studies and benchmarks, earlier in the conversation to address the buyer's concerns and build credibility.",e04242f3-b038-4f9f-b949-11e4f8334281.json
6683d487-39df-46d4-83d5-41b1732bedc2,2026-02-11T14:21:47.051264,https://www.alteryx.com/,3000,4,259,288,64.75,72.0,6,Failure,Price,The seller should have provided more detailed and personalized cost-benefit analysis earlier in the conversation to alleviate the buyer's concerns about the upfront investment and total cost of ownership.,6683d487-39df-46d4-83d5-41b1732bedc2.json
e08a64bc-ac5c-4989-ba3b-e678bf5fac08,2026-02-11T15:22:28.301255,https://www.apple.com/,1602,4,266,298,66.5,74.5,6,Failure,Price,The seller should have provided a more detailed and transparent breakdown of the costs and benefits earlier in the conversation to address the buyer's concerns about price and ROI.,e08a64bc-ac5c-4989-ba3b-e678bf5fac08.json
be9b60d5-a54e-456f-a413-54b55dc1eec5,2026-02-11T15:29:56.395644,https://www.sap.com,205,3,278,157,69.5,52.33,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Neutral,be9b60d5-a54e-456f-a413-54b55dc1eec5.json
cd370073-2cee-4092-ad55-fa8445a1986a,2026-02-16T12:45:52.762621,https://www.myntra.com/,262,4,249,274,62.25,68.5,6,Failure,Price,The seller should have provided a more detailed and transparent breakdown of the costs and pricing model earlier in the conversation to address the buyer's concerns and build trust.,cd370073-2cee-4092-ad55-fa8445a1986a.json
24e246cc-7936-4082-8eb5-e59140329220,2026-02-16T12:50:19.531607,https://www.flipkart.com/,3000,4,255,271,63.75,67.75,4,Failure,Price,The seller should have provided a more detailed and transparent pricing breakdown earlier in the conversation to address the buyer's concerns and build trust.,24e246cc-7936-4082-8eb5-e59140329220.json
8459130f-233f-4a73-977b-8a960c762b28,2026-02-16T17:14:47.415836,https://www.crowdstrike.com,3000,3,288,132,72.0,44.0,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Neutral,8459130f-233f-4a73-977b-8a960c762b28.json
b7625829-fd1c-4be6-a2ea-a339d55d5843,2026-02-16T17:37:24.062875,https://carla.org/,3000,4,250,265,62.5,66.25,6,Failure,Price,The seller should have provided more specific and detailed pricing information and ROI projections earlier in the conversation to address the buyer's concerns and build credibility.,b7625829-fd1c-4be6-a2ea-a339d55d5843.json
804b9ee8-0cb1-4a1c-8436-86c24ea9706c,2026-02-17T17:36:04.294655,https://www.intel.com,205,3,285,140,71.25,46.67,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Neutral,804b9ee8-0cb1-4a1c-8436-86c24ea9706c.json
21970d15-e9af-4edd-b341-dbdf7eec3c33,2026-02-17T17:44:46.104303,https://www.zapier.com,3000,4,309,151,77.25,37.75,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Positive,21970d15-e9af-4edd-b341-dbdf7eec3c33.json
6e6d1644-671f-4544-b0a1-e36d88ad14c6,2026-02-19T15:36:12.381426,https://www.gitlab.com,2823,4,223,192,55.75,48.0,4,Failure,Authority,The seller should have asked about the decision-making process and identified the key stakeholders earlier in the conversation to potentially bypass the initial contact and directly engage with the CIO. Sentiment: Neutral,6e6d1644-671f-4544-b0a1-e36d88ad14c6.json,batch_v2
4ecba2bb-7ea2-46fe-8aff-322a6f63f11b,2026-02-19T15:36:18.933577,https://www.bitbucket.org,3000,4,217,185,54.25,46.25,2,Failure,Integration,The seller should have more effectively addressed the buyer's concerns about integration and provided more concrete evidence of the solution's ability to seamlessly work with Bitbucket and Jira. Sentiment: Negative,4ecba2bb-7ea2-46fe-8aff-322a6f63f11b.json,batch_v2
3ab46242-af2f-417d-bfad-dea4fc5fac8c,2026-02-19T15:36:25.514125,https://www.confluence.com,3000,4,224,165,56.0,41.25,4,Failure,Timing,The seller should have more aggressively explored the buyer's current challenges and pain points to build a stronger case for why DeepData AI's solution is worth considering despite the current budget planning cycle. Sentiment: Neutral,3ab46242-af2f-417d-bfad-dea4fc5fac8c.json,batch_v2
a918ec5d-e517-4f45-a986-ab7f889e071f,2026-02-19T15:36:32.758559,https://www.basecamp.com,3000,4,224,155,56.0,38.75,4,Failure,Timing,"The seller should have more aggressively addressed the buyer's timing concerns and provided more specific examples of how DeepData AI can help with current projects, rather than waiting for a hypothetical future implementation. Sentiment: Neutral",a918ec5d-e517-4f45-a986-ab7f889e071f.json,batch_v2
9be64a1b-25dc-46bd-82fc-a4d1380217b8,2026-02-19T15:36:39.280713,https://www.crunchbase.com,3000,4,223,156,55.75,39.0,4,Failure,Timing,The seller should have more aggressively addressed the buyer's timing concerns and explored potential ways to help the company prioritize the implementation of DeepData AI's solution. Sentiment: Neutral,9be64a1b-25dc-46bd-82fc-a4d1380217b8.json,batch_v2
0b901fad-7a98-4b1b-aebc-77abf89265f2,2026-02-19T15:36:45.508038,https://www.glassdoor.com,3000,4,221,176,55.25,44.0,2,Failure,Timing,The seller should have more effectively addressed the buyer's budget season concerns and potentially offered a more flexible or delayed implementation timeline to better align with the buyer's current priorities. Sentiment: Negative,0b901fad-7a98-4b1b-aebc-77abf89265f2.json,batch_v2
eeeda8cd-ac1a-47a2-a843-f3765fdb5b5b,2026-02-19T15:36:53.206385,https://www.g2.com,50,4,233,151,58.25,37.75,4,Failure,Timing,The seller should have asked more questions to understand the buyer's current project and potential future needs to identify potential opportunities for a pilot or proof-of-concept trial. Sentiment: Neutral,eeeda8cd-ac1a-47a2-a843-f3765fdb5b5b.json,batch_v2
a5abc57c-1b90-431d-b34d-81c6ad50aee8,2026-02-19T15:37:02.285960,https://www.capterra.com,755,4,195,171,48.75,42.75,4,Failure,Competitors,The seller should have more aggressively highlighted the unique benefits and competitive advantages of DeepData AI to overcome the buyer's skepticism and existing competitor solution. Sentiment: Negative,a5abc57c-1b90-431d-b34d-81c6ad50aee8.json,batch_v2
83dbee35-0027-45bb-a6f4-1ba64d997c1b,2026-02-19T15:37:09.366606,https://www.trustradius.com,58,4,198,160,49.5,40.0,4,Failure,Timing,The seller should have asked more questions to understand the buyer's current pain points and budgeting process to potentially identify a future opportunity or a different decision-maker to follow up with. Sentiment: Neutral,83dbee35-0027-45bb-a6f4-1ba64d997c1b.json,batch_v2
770f0622-6f1c-4927-a9aa-c17e06c72e33,2026-02-19T15:37:18.250643,https://www.similarweb.com,3000,4,226,152,56.5,38.0,4,Failure,Integration,"The seller should have more effectively addressed the buyer's concerns about integration and bandwidth, potentially by providing more specific examples or case studies of successful implementations in similar companies. Sentiment: Negative",770f0622-6f1c-4927-a9aa-c17e06c72e33.json,batch_v2
145223fd-b636-4b91-b299-c4d62d74e9b6,2026-02-19T15:37:28.599017,https://www.statista.com,3000,5,239,156,47.8,31.2,7,Success,Timing,The seller should have asked more questions to understand the buyer's current pain points and system implementation to better tailor the demo and increase the chances of a successful meeting. Sentiment: Neutral,145223fd-b636-4b91-b299-c4d62d74e9b6.json,batch_v2
e4e9696c-73b2-4863-9e1a-717a67dd2444,2026-02-19T15:37:39.608438,https://www.deel.com,3000,5,295,205,59.0,41.0,4,Failure,Timing,The seller should have more aggressively addressed the buyer's timing concerns and explored potential pilot or proof-of-concept opportunities to demonstrate value despite the current implementation project. Sentiment: Neutral,e4e9696c-73b2-4863-9e1a-717a67dd2444.json,batch_v2
3b2851dd-0db3-472a-a952-c7768c051c69,2026-02-19T15:37:47.250207,https://www.gusto.com,58,4,194,170,48.5,42.5,4,Failure,Timing,"The seller could have asked more questions to understand the buyer's current project and potential future needs, potentially identifying a better time to follow up and re-engage. Sentiment: Neutral",3b2851dd-0db3-472a-a952-c7768c051c69.json,batch_v2
9acfa781-8d34-45ba-baf9-a59327feac4b,2026-02-19T15:37:55.992541,https://www.rippling.com,3000,4,201,166,50.25,41.5,4,Failure,Timing,The seller should have more aggressively addressed the buyer's concern about bandwidth and current projects to overcome the timing objection and potentially reschedule for a more opportune time. Sentiment: Neutral,9acfa781-8d34-45ba-baf9-a59327feac4b.json,batch_v2
985b9d61-5ce1-41f1-b37e-8528a2c88b8d,2026-02-19T15:38:06.675652,https://www.lattice.com,3000,5,268,190,53.6,38.0,4,Failure,Authority,The seller should have more effectively addressed the buyer's authority objection by asking about the decision-making process and involving other stakeholders earlier in the conversation. Sentiment: Negative,985b9d61-5ce1-41f1-b37e-8528a2c88b8d.json,batch_v2
6a3dabb4-e78c-48aa-9c7e-2cc8d7d3b809,2026-02-19T15:40:11.200546,https://www.cultureamp.com,3000,4,249,169,62.25,42.25,5,Pending,Unknown,Sentiment: Neutral,6a3dabb4-e78c-48aa-9c7e-2cc8d7d3b809.json,batch_v2
